Name_of_region,Индекс,2019_sum,2020_sum,2021_sum,2022_sum
Алтайский край,АЛТК,22235,23700,26832,31784
Амурская область,АМУР,26811,30829,35508,39166
Архангельская область,АРХ,27666,29041,31732,36431
Астраханская область,АСТР,21347,22367,24142,28537
Белгородская область,БЕЛ,21726,22433,25768,30836
Брянская область,БРЯ,20326,21113,22996,28593
Владимирская область,ВЛАД,22617,23174,25893,30353
Волгоградская область,ВОЛГ,21081,22074,23743,26484
Вологодская область,ВОЛ,21984,23604,25785,30400
Воронежская область,ВОР,23062,23422,26090,30485
Еврейская автономная область,ЕВР,24738,25842,28255,31590
Забайкальский край,ЗАБ,23830,25932,29236,35241
Ивановская область,ИВН,21503,21905,23978,29093
Иркутская область,ИРК,22572,23877,27376,33415
Кабардино-Балкарская Республика,КБР,19946,21272,25650,27961
Калининградская область,КАЛИ,24678,26283,29740,37547
Калужская область,КАЛУ,24284,24871,27606,32803
Камчатский край,КАМ,36125,36972,39040,45435
Карачаево-Черкесская Республика,КРЧ,22420,23184,25171,29822
Кемеровская область,КЕМ,20595,21338,24149,29846
Кировская область,КИР,20861,21794,23912,28420
Костромская область,КОСТ,19793,21021,23368,27225
Краснодарский край,КРД,26255,27175,30348,53195
Красноярский край,КРАС,23807,25217,28520,31531
Курганская область,КУРГ,20629,21667,23600,26760
Курская область,КУР,21133,22306,24837,28349
Ленинградская область,ЛЕН,25067,30176,28895,31448
Липецкая область,ЛПЦ,20666,21157,23364,28972
Магаданская область,МАГ,30379,32026,35433,40127
Москва,МСК,50510,52924,65435,71017
Московская область,МО,30084,32218,34564,39167
Мурманская область,МУР,26857,28314,31441,36582
Ненецкий автономный округ,НЕН,30978,31013,33962,37421
Нижегородская область,НИЖ,25883,26807,30750,35088
Новгородская область,НОВ,21230,21821,23833,26720
Новосибирская область,НВСБ,24550,25799,28415,33094
Омская область,ОМС,21077,22204,25120,29262
Оренбургская область,ОРН,20335,21039,21434,23395
Орловская область,ОРЛ,19502,20699,23005,27377
Пензенская область,ПНЗ,20777,22065,24405,27131
Пермский край,ПРМ,22787,23767,27117,33210
Приморский край,ПРИМ,34304,35826,40358,43883
Псковская область,ПСК,21168,22099,24559,28734
Республика Адыгея,АДГ,21977,22157,26545,31671
Республика Алтай,АЛТР,23944,26257,29358,36862
Республика Башкортостан,БШК,24530,25166,27483,31952
Республика Бурятия,БУР,23746,25489,29537,32737
Республика Дагестан,ДАГ,22372,23364,25705,29380
Республика Ингушетия,ИНГ,19071,19496,21560,25045
Республика Калмыкия,КЛМ,21533,21820,25103,27308
Республика Карелия,КАР,24873,25455,29041,33539
Республика Коми,КОМИ,25477,26643,27668,31670
Республика Крым,КРМ,25153,25629,29617,36809
Республика Марий Эл,МЭ,20080,20779,22561,26142
Республика Мордовия,МРД,20388,20919,22627,27112
Республика Саха (Якутия),ЯКТ,32838,34355,35470,42738
Республика Северная Осетия — Алания,ОСЕТ,21238,22381,22222,25625
Республика Татарстан,ТАТ,26345,27048,28564,35846
Республика Тыва,ТЫВ,24311,26073,30666,35434
Республика Хакасия,ХАК,23123,23540,25462,28644
Республика Чувашия,ЧУВ,19462,21663,24160,28355
Ростовская область,РНД,24209,25033,26970,30159
Рязанская область,РЯЗ,21966,22611,25374,28909
Самарская область,СМР,22158,23381,25491,30215
Санкт-Петербург,СПБ,34728,36017,42582,45475
Саратовская область,САР,19334,20496,22943,27542
Сахалинская область,СХЛ,37502,41089,40424,47419
Свердловская область,СВРД,25657,25973,28725,34023
Севастополь,СЕВ,28233,30586,32806,38242
Смоленская область,СМОЛ,21063,21492,23465,26920
Ставропольский край,СТВ,21297,23216,24497,30076
Тамбовская область,ТАМБ,19973,20763,23130,27455
Тверская область,ТВР,23132,23981,26344,30703
Томская область,ТМСК,22811,23589,26769,32018
Тульская область,ТУЛ,23275,24920,30091,33083
Тюменская область,ТЮМ,23481,26054,26782,33152
Удмуртская Республика,УДМ,22015,23459,25490,28762
Ульяновская область,УЛЬ,21799,22681,24787,27490
Хабаровский край,ХАБ,30555,32329,35737,39412
Ханты-Мансийский АО,ХМАО,29137,30388,33646,39058
Челябинская область,ЧЕЛ,19573,20010,22222,27382
Чеченская Республика,ЧЕЧ,23117,23518,25136,28444
Чукотский автономный округ,ЧУК,37977,39154,41987,48266
Ямало-Ненецкий автономный округ,ЯНАО,29894,30069,30638,38988
Ярославская область,ЯРО,22926,23681,25241,28072
